session_id,action_type,query,intent,answer,status
175fc399-35e7-4520-a412-898c212f0613,typed,Is the product available??,Gurantee of products,"IndiaMART is an online marketplace to connect buyers with suppliers. It does not provide assurance of product quality on behalf of listed suppliers
However, we provide the buyer with multiple options of suppliers to choose from. We recommend you to connect with multiple suppliers and then choose the most suitable one

<a href=""https://help.indiamart.com/knowledge-base/gurantee-of-products/"" target=_blank>Know More</a>",N
d84c461d-71f2-4a24-8cb6-ea1b858d08b2,typed,Menu,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
ae5db843-03e5-4541-a711-a3cccf466ec1,typed,Hi,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
38806226-c75c-44df-bcdf-5c6c7de98fe7,typed,but my loction is telangana,Location Filter,"Please visit <a href=""https://seller.indiamart.com/misc/privacysettings/#tab=locationpreferences"">here</a>.
You can set location preferences in order to receive buyleads mainly from that region. 

<a href=""https://help.indiamart.com/knowledge-base/location-filter/"" target=_blank>Know More</a>",Y
790ef2f8-e195-47be-a28a-6de4becf07c9,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
f9829422-e1e3-4382-baac-e4b985163f47,typed,Are you there,,Of course. Im always here.,Y
95638ac4-18cd-4ce8-b893-69a30c6c0c6b,typed,Hi,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
3f055bae-b2fe-4bba-98f0-3745cc013ab7,typed,Menu,Default welcome intent for Non FCP,"Hey! How can we help you today?
Please type your query or select any of the below options",Y
d72a5c79-8f59-47f8-93ee-ffe960e55ba2,template,Buy,BuyLead Generation,Please click on the below button to search for any product or service as per your requirement.,Y
18ec7456-5cc2-4fd9-a934-e859d26c5832,typed,BuyLeads,Buy Lead,"BuyLead is a purchase requirement sent by prospective buyers for products and services.
By consuming a BuyLead, the supplier gets access to the buyerâ€™s contact details.",Y
f49ff0ec-c8d3-409a-b0e0-9dbc7a1eb75d,typed,Please price,adding price on whatsapp,"If you want to add price to your product(s), please visit <b>Seller Dashboard</b> and go to <b>Manage Products</b> 

To go to>> <b><a href=""https://m.indiamart.com/products/"" target=_blank>Manage Products</a></b>",N
